id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
214,SUMMER MUSTARD,214,TE00007230,PRINTED LINEN 43003 JULIA PF'22 SWIM-LA RIVIE?RE STRIPES ECRU/BROWN 120CM,
215,WHISKEY SOUR DAYS,215,TEN0007173,DOUBLE GEORGETTE OPALO ECO SUTEX FLORAL CHARISMA TERRACOTA/RUST,
216,LEMONADE,216,TEN0005704,ALGODÓN MANDARINA COL 19 LIGTH PEACH,1.45
217,FIERCE MAGENTA,217,TE00007198,LIGHT POPLIN PF’22 SWIM ORNEMENTS EMBERA OFF WHITE/BLUE 30CM,
218,SPRING CAMELLIA,218,TE00007435,CHINE TWILL 35315 CLERICCI PF'22 RTW IKAT WATERS ECRU/RUST 130 CM,1.42
219,PINK EXTRAVAGANZA,219,TE00007244,VITA LYCRA PF'22 SWIM-LES VAGUES NAVY/ECRU 25CM,
220,PETUNIA PUNCH,220,TE00007591,PRINTED JACQUARD RODI LISA FW'22 CONGO MEETS USBEK WINE-ECRU 50CM,1.4
221,SUCCULENT GREEN,221,TE00007002,COTTONPOLY POPLIN 125GRMS ART 1800072070 610 BROWN,1.32
222,AQUA DEPTHS,222,TE00007380,TENCEL TWILL 2123 HOUSE OF YOU PF’22 RTW PACIFICO TIE DARK BLUE/LIGHT BLUE/ECRU 8CM,1.4
223,SUNKISSED AQUA,223,TE00007595,PRINTED COTTON CORDUROY MOENA LISA FW'22 PALM TIE WINE-BLUE 8CM,1.45
224,CRUISE WHITE,224,TE00007578,PRINTED HAMMERED GRID OTTAWA LISA FW22 ANTIQUAIRE BLACK-FUCSHIA-YELLOW 85CM,1.4
225,LILAC SAND,225,TE00007208,COTTON VOILE PF’22 SWIM–ORNEMENTS MAYA ECRU/GREEN 38CM,
226,ORCHID HAZE,226,TE00007722,LIGHT SHINY JERSEY VF0022J RATTI FW'22 CONGO MEETS USBEK BLACK-MILITARY GREEN 50CM,
227,AMETHYST,227,TE00007417,LINEN LIK006 RATTI PF’22 RTW IKAT WATERS CAMEL/ECRU 50CM,1.45
228,ZEN HUSBAND BLUE,228,TE00007213,COTTON VOILE PF’22 SWIM ORNEMENTS MAYA ECRU/BROWN/ORANGE 30CM,
229,INDIGO BLUE,229,TE00006934,SUSTAINABLE COTTON SATIN ECONOMAD CARPET TANECRU 1,1.3
230,MIDNIGHT BY THE SEA,230,TE00007579,CRINKLED GGT LUREX DROPS SENTOSE FW22 ANTIQUAIRE TERRACOTA-ECRU 30CM,1.36
231,ANTIQUE ECRU,231,TE00008065,PRINTED LYCRA W0551EKO CLERICI RE'23 SWIM #110 MALI BIKINI TOP,1.5
232,MINT FOAM,232,TE00006256,LPO CAMBRIGE LISABLOCKPRINTFRAME MANGREEN 25CM,1.42
233,SPEAK SALSA RED,233,TE00007569,LUREX DROPS SILVER W0574 CLERICI FW'22 PALM TIE BLACK-ECRU 8CM,1.34
234,AFTER SALSA RED,234,TE00007594,PRINTED COTTON CORDUROY MOENA LISA FW'22 PALM TIE BLACK-WINE 8CM,1.45
235,SALSA DISCO RED,235,TE00007204,COTTON VOILE PF'22 SWIM-LA RIVIE?RE STRIPES SAFFRON/VANILLA 120CM,
236,GUAJIRA NUDE,236,TE00007332,PRINTED LINEN 43003 JULIA SS'22 Earthshine Spell BLACK-ECRU 100CM OK,
237,SANDSTONE,237,TE00007239,PRINTED LINEN 43003 JULIA PF’22 SWIM–ORNEMENTS EMBERA ECRU/GREEN 30CM,
238,CARAMEL,238,TE00007246,VITA LYCRA PF’22 SWIM LES COQUILLAGES ECRU/RUST 40CM,
239,DEEP TERRACOTA,239,TE00007255,LICRA SUPER LIBERTY SOUL ECO PF’22 LES VAGUES RED/ECRU 25CM,
240,FRESH LEMONADE,240,TE00008193,PRINTED DOUBLE GGT SI GGT 8200N JOKERS SS'23 FLOR MUSA PARADISIACA GREEN/RED/PURPLE/BLACK 80 CM,1.4
241,MINT,241,TE00006422,LI ZANZIBAR LISABLOCKPRINTFRAME CACAORANGE 25CM,1.42
242,DELIRIUM GREEN,242,TE00007124,PRIN FIL COSIFIL8200N CARIBUPHOLSTERY TECRUGREEN,1.40
243,MIDNIGHT BY THE RIVER,243,TE00008054,LIGHT POPLIN CAMBRIDGE LISA RE'23 SWIM #64 GHANA WRAP SKIRT,1.42
244,PINK SALT,244,TE00007378,CDC 23MM PREVIEW PF'22 RTW UNDERWATER FLORALS LIGHT GREEN/CAMEL 60CM,1.3
245,VINTAGE ECRU,245,TE00007966,LIGHT SHINY JERSEY VF0022J RATTI RE´23 ANKARAN DRUMBEATS ORANGE 30cm,
246,DARK NUDE,246,TE00007236,PRINTED LINEN 43003 JULIA PF'22 SWIM-HISTOIRE DE PLAGE BLUE/WHITE 45CM,
247,BUBBLE (RUM),247,TE00007214,COTTON VOILE PF’22 SWIM ORNEMENTS MAYA ECRU/NAVY 30CM,
248,PACIFICO BLUE,248,TE00006420,LINEN TWILL LIGHT ART82921F COL8629 LICAMEL,1.60
249,DRUNKEN BLUE,249,TE00007205,COTTON VOILE PF'22 SWIM-LA RIVIE?RE STRIPES ECRU/RED/BLACK 120CM,
250,BROWN,250,TE00007196,LIGHT POPLIN PF’22 SWIM ORNEMENTS EMBERA ECRU/BROWN/ORANGE 30CM,
251,MILITARY GREEN,251,TE00007586,COTTON POPLIN MANCHESTER LISA FW'22 WILD FAIR BLACK-YELLOW-FUCSIA 150CM,1.48
252,CELESTE BLUE,252,TE00007191,LIGHT POPLIN PF’22 SWIM-BALADE SOUS L’EAU WHITE/BLUE 65CM,
253,SILVER,253,TE00007403,ECO COTTON POPLIN MANCHESTER PF'22 RTW IKAT WATERS GREEN/ECRU130CM,1.48
254,NAVY,254,TE00007433,CHINE TWILL 35315 CLERICCI PF'22 RTW IKAT WATERS COL 101 ECRU/BLACK 130 CM,1.42
255,TANGERINE,255,TE00000392,BERMIDA NAP ROSES CAMPARI ECCRU MAXI,1.45
256,MIDNIGHT IN PARIS,256,TE00007197,LIGHT POPLIN PF’22 SWIM ORNEMENTS EMBERA NAVY/ECRU 30CM,
257,CANOA MATCHA/AQUA,257,TE00007190,LIGHT POPLIN PF’22 SWIM-BALADE SOUS L’EAU ECRU/RUST 130CM,
258,ROSE,258,TE00006763,LIGHT POPLIN COTU001 BATIK LEAVES BLUE NAVY V11,1.40
259,RUBY FIESTA/ANIS,259,TE00008066,PRINTED LYCRA W0551EKO CLERICI RE'23 SWIM #117 MAROON AZABACHE BIKINI BOTTOM,1.5
260,COCO DE MER/AQUA,260,TE00007772,LYCRA W0639EKO CLERICI RE'23 SWIM MOLA PALM RED - BLUE 50CM,
261,SALMON/POMEGRANATE,261,TE00007571,COTTON SATIN ECO 1905 HOUSE OF U FW'22 IKAT PALM TERRACOTA 50CM,1.15
262,CANOA SANGRIA/ECRU,262,TE00007216,COTTON VOILE PF’22 SWIM – LA SIRE?NE PAREO ECRU/CURCUMA 170CM,
263,SANGRIA/BLUSH,263,TE00007217,COTTON VOILE PF’22 SWIM – LA SIRE?NE PAREO RED/YELLOW/BROWN 170CM,
264,CREMA,264,TE00007193,LIGHT POPLIN PF’22 SWIM-BALADE SOUS L’EAU YELLOW/TERRACOTA 130CM,
265,CANOA TURMERIC/ECRU,265,TE00007387,COTTON SATIN ECO 1905 HOUSE OF U PF’22 RTW HANGING PLANTS ONIRIC GREEN/BROWN/ECRU 50CM,1.3
266,LILAC,266,TE00007388,COTTON SATIN ECO 1905 HOUSE OF U PF'22 RTW SAMOA RED/NUDE/BLACK 90CM,1.3
267,BABY PAPAYA,267,TE00007840,LYCRA VITA FY0427J RATTI RE'23 SWIM PALM DE JOUY GREEN BLACK 130 CM,1.46
268,BLUE STRIPE,268,TE00008201,PRINTED HAMMERED CHARMEUSE PREVIEW SS'23 FOSSIL TIEDYE ECRU- BROWN 120,1.32
269,NOIR MUSTARD,269,TE00008211,PRINTED WASHED CDC 16MM PREVIEW SS'23 FOSSIL SKIN ECRU/WINE 70 CM,1.37
270,ACQUA/PINSTRIPE,270,TE00008199,PRINTED HAMMERED CHARMEUSE PREVIEW SS'23 FLOR MUSA PARADISIACA ECRU-BROWN-PINK-BLACK 80 CM,1.32
271,NAVY PINSTRIPE,271,TE00008202,PRINTED HAMMERED CHARMEUSE PREVIEW SS'23 FOSSIL TIEDYE ECRU- BROWN 120 CM,1.32
272,NAVY/WHITE/REDMAN,272,TE00008200,PRINTED HAMMERED CHARMEUSE PREVIEW SS'23 FLOR MUSA PARADISIACA ROSE-EMERALD-ORANGE-YELLOW 80 CM,1.32
273,LIGHT BLUE,273,TE00008173,ECO POPLIN MANCHESTER DIS950774-JO6 LISA SS'23 YEAR OF TIGER PINK/CEREZA/YELLOW/BLACK 60 CM-2,1.48
274,ACQUA/WETLAND,274,TE00008295,PRINTED EYELET TAZMANIA DIS950779-JO2 SS'23 FLOR MUSA PARADISIACA ECRU-PURPLE-PINK-BLACK 80 CM,
275,LILACC STRIPES,275,TE00008169,ECO POPLIN MANCHESTER DIS950779-JO2 LISA SS'23 FLOR MUSA PARADISIACA ECRU/PURPLE/PINK/BLACK 80 CM,1.48
276,NAVY STRIPES,276,TE00008166,ECO POPLIN MANCHESTER DIS950772-JO3 LISA SS'23 FANTASY PALMS MAXI PURPLE/GREEN,1.48
277,RUST/PINK,277,TE00008172,ECO POPLIN MANCHESTER DIS950774-JO5 LISA SS'23 YEAR OF TIGER JADE/MAGENTA/GREEN/ECRU/BLACK 60 CM,1.48
278,AZAFRAN RED,278,TE00008170,ECO POPLIN MANCHESTER DIS950779-JO3 LISA SS'23 FLOR MUSA PARADISIACA GREEN/RED/PURPLE/BLACK 80 CM,1.48
279,OFF WHITE/BLACK,279,TE00008175,ECO POPLIN MANCHESTER DIS950775-JO3 LISA SS’23 FANTASY PALMS MIDI ECRU/YELLOW,1.48
280,MILITAR GREEN,280,TE00008177,ECO POPLIN MANCHESTER DIS950780-JO2 LISA SS’23 GUANE TILES ECRU/GREEN 40CM,1.48
281,ACQUA/BLUSH,281,TE00008297,PRINTED EYELET TAZMANIA DIS950774-JO7 SS'23 YEAR OF TIGER PEACH-ORANGE-ECRU-BLACK 60 CM-2,
282,BLUSH/OFF WHITE,282,TE00008179,PRINTED LINEN RUBENS RCSEF-CB DIS950774-JO2 LISA SS'23 YEAR OF TIGER MANDARINA/YELLOW/EMERALD/BLACK,1.42
283,OFF WHITE STRIPES/MILITAR GREEN,283,TE00008167,ECO POPLIN MANCHESTER DIS950775-JO2 LISA SS'23 FANTASY PALMS MIDI ORANGE/ECRU/DARK MARSALA,1.48
284,BLUE RUST,284,TE00008245,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 FOSSIL SKIN PINK/RED 70 CM,1.38
285,HIVER YELLOW,285,TE00008171,ECO POPLIN MANCHESTER DIS950773-JO2 LISA SS'23 FOSSIL DOOTS ECRU/RED 20,1.48
286,CELESTE/OFF WHITE,286,TE00008248,PRINTED JERSEY INKE022 ARGENTI SS'23 FOSSIL SKIN ECRU/WINE 70 CM,1.37
287,AZAFRAN/OFF WHITE,287,TE00008165,ECO POPLIN MANCHESTER DIS950772-JO2 LISA SS'23 FANTASY PALMS MAXI DARK BROWN/PEACH,1.48
288,NAVY/OFF WHITE,288,TE00008247,PRINTED JERSEY INKE022 ARGENTI SS'23 FOSSIL SKIN BLUE/WINE 70 CM,1.37
289,CABERNET,289,TE00008184,PRINTED LUREX JERSEY SPARKLING DIS950777-JO3 LISA SS’23 AMPHORA RUSTE/BABY BLUE 130CM,1.5
290,OFFWHIBLA,290,TE00008180,PRINTED LINEN RUBENSRCSEF-CB DIS950774-JO3LISA SS'23 YEAR OF TIGER PEACH/EMERALD/YELLOW/BLACK 60 CM-,1.42
291,WHITE/BLUE STRIPES,291,TE00008217,PRINTED CDC 16MM CRK16 RATTI SS'23 FANTASY PALMS MIDI CLAY/VIOLET/GREEN,1.35
292,CABERNET/OFF WHITE,292,TE00008178,ECO POPLIN MANCHESTER DIS950780-JO3 LISA SS’23 GUANE TILES ECRU/TERRACOTA 40CM,1.48
293,MINT/MAGENTA,293,TE00008168,ECO POPLIN MANCHESTER DIS950779-JO1 LISA SS'23 FLOR MUSA PARADISIACA BLACK/ECRU/PURPLE/RED WINE 80 C,1.48
294,YUPPIE STRIPES,294,TE00008181,PRINTED LUREX JERSEY SPARKLING DIS950776-JO1 LISA SS'23 FOSSIL SKIN ECRU/BLACK 70 CM,1.5
295,CHILI RED SUCULENTA,295,TE00008246,PRINTED JERSEY INKE022 ARGENTI SS'23 FOSSIL SKIN BLACK/ECRU 70 CM,1.37
296,CHILI RED/WESTERN WHITE TARTAN,296,TE00008176,ECO POPLIN MANCHESTER DIS950780-JO1 LISA SS’23 GUANE TILES ECRU/BLACK 40CM,1.48
297,WESTERN WHITE,297,TE00008174,ECO POPLIN MANCHESTER DIS950776-JO2 LISA SS'23 FOSSIL SKIN BLACK/ECRU 70 CM 950776 JO2,1.48
298,DESIERTO BEIGE/WESTERN WHITE,298,TE00008299,PRINTED COTTON DUXFORD-BRC DIS950773-JO3 LISA SS'23 FOSSIL DOOTS ECRU/BLACK 20CMS,
299,WESTERN WHITE/NAVY,299,TE00008220,PRINTED CDC 16MM CRK16 RATTI SS'23 FOSSIL DOOTS ECRU/BLACK 20CMS,1.35
300,MIDNIGTH NAVY/TARTAN,300,TE00008219,PRINTED CDC 16MM CRK16 RATTI SS'23 FLOR MUSA PARADISIACA GREEN/RED/PURPLE/BLACK 80 CM,1.35
301,NIGHT BLACK/IVORY STRIPES,301,TE00008192,PRINTED DOUBLE GGT SI GGT 8200N JOKERS SS'23 FANTASY PALMS MIDI ORANGE/ECRU/DARK MARSALA,1.4
302,PEACH/BLACK ETHNIC DOTS,302,TE00008191,PRINTED JACQUARD RODI DIS950775-JO1 LISA SS’23 FANTASY PALMS MIDI MAGENTA/GREEN,1.44
303,FLAMINGO RED STRIPES,303,TE00008182,PRINTED LUREX JERSEY SPARKLING DIS950777-JO1 LISA SS’23 AMPHORA GREEN/LILAC 130CM,1.5
304,NIGHT BLACK STRIPES,304,TE00008195,PRINTED DOUBLE GGT SI GGT 8200N JOKERS SS'23 MINI FANTASY PALMS SAND/BLUE,1.4
305,CELESTE/WHITE STRIPES,305,TE00008221,PRINTED CDC 16MM CRK16 RATTI SS'23 YEAR FOF THE TIGER RED/PINK 60 CM,1.35
306,SPICY RED,306,TE00008187,PRINTED JACQUARD RODI DIS950774-JO1 LISA SS'23 YEAR OF TIGER LIGHT YELLOW/OLIVE/GREEN/MUSTARD/BLACK,1.44
307,CELESTE/MAGENTA ACACIA TREE PRINT,307,TE00008183,PRINTED LUREX JERSEY SPARKLING DIS950777-JO2 LISA SS’23 AMPHORA RED/BLACK 130CM,1.5
308,MAUVE/WHITE AMAZONIA PRINT,308,TE00008215,PRINTED CDC 16MM CRK16 RATTI SS'23 FANTASY PALMS MAXI DARK BROWN/PEACH,1.35
309,CELESTE/WHITE AMAZONIA PRINT,309,TE00008185,PRINTED JACQUARD RODI DIS950772-JO1 LISA SS'23 FANTASY PALMS MAXI ECRU/AQUAMARINE,1.44
310,RENAISSANCE VICTORIAN RED,310,TE00004877,WAXED SOLID POPLIN SION GREEN ART.H066000COL.50054,1.5
311,HONEY STRIPES,311,TE00007469,COTTON POPLIN 21-1802 STYLEM 353 MOSTAZA,1.32
312,CHAMPAGNE,312,TE00008084,SILK CHAMEUSE DARK GREEN 3162 - SAILSILKS,
313,POLKA DOTS,313,TE00004931,CO POPLIN ACTION TC4778/R1 BCI COL 00012 BLACK,1.35
314,RENAISSANCE ROSE,314,TE00005342,COTTON POLY POPLIN VC-0COTTON PO92 MARRON SHADE B,
315,CAMEL/IVORY,315,TE00007552,ELASTIC CREPE 027S0007300 STYLEM 59 FOREST GREEN,1.37
316,BLACK/OFF WHITE,316,TE00008083,SILK CDC 16 MM FUCHSIA 3128 - SAILSILKS,1.4
317,MARSALA/ECRU,317,TE00008082,SILK CDC 16 MM GREEN 3158 - SAILSILKS,1.4
318,PALE BLUSH,318,TE00008023,JACQUARD ART30727 TARONI DIS.700840/0153 GREEN,1.34
319,MIDNIGHT/KLIM BEIGE,319,TE00007483,SOLID COTTON POPLIN ART2300075020 STYLEM COL530 TEAL,1.4
320,CAMEL/OLD ROSE,320,TE00008086,DOUBLE GGT 16MM LIGHT GREEN DGT-156 - SAISILKS,1.39
321,SKY BLUE,321,TE00008024,JACQUARD ART30727 TARONI DIS.700840/0172 MATTONE,1.34
322,NIGHTS IN CALI BLACK,322,TE00008088,DOUBLE GGT 16MM RED DGT-138 - SAISILKS,1.39
323,BURNT UMBER,323,TE00006996,SOLID COTON POPLIN 105GMS ART 211802 860 WINE,1.37
324,YELLOW PASTEL,324,TE00007684,CREPE BIRDS 177 138 MILITARY GREEN,1.44
325,BLUE/JADE,325,TE00007720,JACQUARD ART30727 30CM DIS700840 VAR0100 ECRU,1.34
326,FOGGY JADE,326,TE00000326,JACQUARD 700589 COL104 ORCHID PARAD CHERRY MARSALA,1.38
327,GREEN MILITAR,327,TE00001734,JACQUARD ART30727 LEAOPARD 15CM CAMOUFL180523,1.34
328,BLUE PINSTRIPE,328,TE00007685,CREPE BIRDS 177 104 RED,1.44
329,NAVY BLUE STRIPE,329,TE00000896,SOLID COTON POPLIN ART2300075020 COL800SANGRIA,1.45
330,RENNAISSANCE POTTERY BLUE,330,TE00007460,ALGODON ACTION POPELINA 15747 - LILA,1.35
331,RENNAISSANCE ROSE,331,TE00007462,ALGODON ACTION POPELINA 15971 - VERDE MILITAR,1.35
332,MENS BLUE,332,TE00008197,PRINTED DOUBLE GGT SI GGT 8200N JOKERS SS'23 YEAR OF TIGER RED WINE/ECRU/BLUE/BLACK 60 CM,1.4
333,AGAVE WASHED BLUE DENIM,333,TE00008218,PRINTED CDC 16MM CRK16 RATTI SS'23 FLOR MUSA PARADISIACA BLACK/ECRU/PURPLE/RED WINE 80 CM,1.35
334,CELESTE/RUST AMAZONIA PRINT,334,TE00008198,PRINTED DOUBLE GGT SI GGT 8200N JOKERSSS'23 YEAR OF TIGER YELLOW/GREEN 60 CM,1.4
335,NIGHT BLACK LIFE IN THE TROPICS,335,TE00008294,PRINTED EYELET TAZMANIA DIS950772-JO4 SS'23 FANTASY PALMS MAXI ECRU-YELLOW,
336,TEAL/IVORY MAXI TANGLED GARDEN,336,TE00008296,PRINTED EYELET TAZMANIA DIS950775-JO4 SS’23 FANTASY PALMS MIDI TURQUOISE-ECRU,
337,SAPPHIRE,337,TE00008216,PRINTED CDC 16MM CRK16 RATTI SS'23 FANTASY PALMS MAXI PURPLE/AQUAMARINE,1.35
338,LAVA RED,338,TE00008214,PRINTED CDC 16MM CRK16 RATTI SS'23 FANTASY PALMS MAXI CAPUCCINO/GREEN,1.35
339,KILIM BEIGE,339,TE00008190,PRINTED JACQUARD RODI DIS950774-JO4 LISA SS'23 YEAR OF TIGER PINK/ORANGE/BLACK 60 CM-2,1.44
340,BLUE GOLD WHITE TAUPE,340,TE00008189,PRINTED JACQUARD RODI DIS950774-JO3 LISA SS'23 YEAR OF TIGER PEACH/EMERALD/YELLOW/BLACK 60 CM-2,1.44
341,COCO DE MER/HUSBAND BLUE,341,TE00008188,PRINTED JACQUARD RODI DIS950774-JO2 LISA SS'23 YEAR OF TIGER MANDARINA/YELLOW/EMERALD/BLACK 60 CM,1.44
342,MAPLE/SMOKE,342,TE00008186,PRINTED JACQUARD RODI DIS950773-JO1 LISA SS'23 FOSSIL DOOTS ECRU/GREEN 20CMS 950773 JO1,1.44
343,OLDROSCABERCHIN,343,TE00008194,PRINTED DOUBLE GGT SI GGT 8200N JOKERS SS'23 FLOR MUSA PARADISIACA MINT/PURPLE/ECRU 80 CM,1.4
344,MOSS,344,TE00008213,PRINTED CDC 16MM CRK16 RATTI SS'23 FANTASY PALMS MAXI BABY BLUE/ORGANGE,1.35
345,HONEY,345,TE00003341,PRINT JACQ RODI7 TROPMAJESTY 40CM 97776 6010 BLACK,1.44
346,ECRU BLACK,346,TE00008209,PRINTED WASHED CDC 16MM PREVIEW SS'23 PAREO TIBETAN MEETS LATINO WINE/PURPLE,1.37
347,BLUE/PINK STRIPE,347,TE00008206,PRINTED WASHED CDC 16MM PREVIEW SS'23 PAREO TIBETAN MEETS LATINO DARK GRAY/PINK,1.37
348,RED,348,TE00008205,PRINTED WASHED CDC 16MM PREVIEW SS'23 PAREO TIBETAN MEETS LATINO BLUE/ECRU,1.37
349,CELESTE/SALMON,349,TE00008160,LYCRA GEORGETTE 19MM 42 GREEN COL.130,1.09
350,GREEN,350,TE00008208,PRINTED WASHED CDC 16MM PREVIEW SS'23 PAREO TIBETAN MEETS LATINO RUST/ECRU,1.37
351,CELESTE/CORAL,351,TE00008207,PRINTED WASHED CDC 16MM PREVIEW SS'23 PAREO TIBETAN MEETS LATINO GREEN/ECRU,1.37
352,CERULEAN/MUSTARD,352,TE00008236,PRINTED HEAVY JACQUARD MATELASSE SL0104N RATTI SS'23 FLOR MUSA PARADISIACA ECRU/GREEN/PURPLE/BLACK80,1.4
353,CELESTE MAGENTA,353,TE00008235,PRINTED HEAVY JACQUARD MATELASSE SL0104N RATTI SS'23 FANTASY PALMS MAXI ECRU/PINK,1.4
354,CABERNETPRILY,354,TE00007841,LYCRA VITA FY0427J RATTI RE'23 SWIM Caribe Tropical 100cm CORRECT,1.46
355,MIDNIGHTPRINTLY,355,TE00007821,LINEN LIK006 RATTI RE'23 SWIM SWIM KUNA DOTS ECRU - CHARCOAL 150 CM,1.47
356,WESTERN WHITE/NAVY BOTTOM,356,TE00007838,LYCRA VITA FY0427J RATTI RE'23 SWIM MOLA PALM TREE GRAY - ROSE 30CM,1.46
357,CABERNOFFWSTRPRLY,357,TE00005832,CREPE DE CHINA CAFE/WOOD PV1200 186 44/45´16MM,1.11
358,CELESTEMAGENCOQ,358,TE00007000,POLIESTER 100 144GRMS ART 2111007 350 MOSTAZA,1.37
359,MENBLUEPINESTRIPRL,359,TE00000200,YWP4775/PR31111 POLY DOUBLE GEORGETTE COL BURGUNDY,1.47
360,MIDNIGHTPRINTEDLY,360,TEN0006503,LYCRA NAVY 390 VITA COL 60043 ADMIRAL,1.5
361,SILVERPRINTED LYCRA,361,TEN0006030,LYCRA BAHIA 33474 COL161149 OCRE,1.56
362,NIGHT BLACK,362,TE00008229,PRINTED LINEN LIK006 RATTI SS'23 FOSSIL SKIN ECRU/GREEN 70 CM,1.47
363,BLACK TOURMALINE,363,TE00008242,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 FOSSIL TIEDYE MALACHITE GREEN/BLACK 120,1.38
364,VICTORIAN CEREZO NAVY,364,TE00008239,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 FANTASY PALMS MAXI CURUBA/WINE,1.38
365,MARSALA/OFF WHITE,365,TE00008243,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 FOSSIL TIEDYE REDWINE/ROSE 120,1.38
366,RED MAN,366,TE00008231,PRINTED LINEN LIK006 RATTI SS’23 AMPHORA RED/BLACK 130CM,1.47
367,OFF WH BLUE,367,TE00008241,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 FANTASY PALMS MIDI RED/ORANGE/ECRU,1.38
368,TURQUIOSE,368,TE00008237,PRINTED SEQUINS PL0529R RATTI SS'23 FANTASY PALMS MAXI DARK BROWN/PEACH,
369,WHEAT,369,TE00008238,PRINTED SEQUINS PL0529R RATTI SS'23 FLOR MUSA PARADISIACA ROSE/EMERALD/ORANGE/YELLOW 150 CM,
370,KHAKI/ECRU,370,TE00008232,PRINTED LINEN LIK006 RATTI SS’23 AMPHORA YELLOW/BABY BLUE 130CM,1.47
371,BUBBLE GUM,371,TE00008233,PRINTED LINEN LIK006 RATTI SS’23 GUANE TILES ECRU/GREEN 40CM,1.47
372,CHERRY/OLD ROSE,372,TE00008244,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 YEAR OF TIGER JADE/MAGENTA/GREEN/ECRU/BLACK 60 CM,1.38
373,CELESTE CORAL,373,TE00008226,PRINTED LINEN LIK006 RATTI SS'23 FANTASY PALMS MIDI MAROON/BLUE/ECRU,1.47
374,DENIM,374,TE00008230,PRINTED LINEN LIK006 RATTI SS’23 AMPHORA LILAC/GREEN 130CM,1.47
375,JADECABERNEPLACOQU,375,TE00007888,POLY CREPPE LISA RE'23 SWIM PALM DE JOUY BLACK ROSE 130 CM (DIS950203-JO2),
376,CHERRY/BLACK,376,TE00007693,"ACETATE MATT JERSEY ART01625, BLACK 4000",1.35
377,OLDROSECABERNECOQUEL,377,TE00008234,PRINTED LINEN LIK006 RATTI SS’23 GUANE TILES ECRU/TERRACOTA 40CM,1.47
378,CELESTEMAGECOQ,378,TE00008240,PRINTED HEAVY SHINY JERSEY VF0185J RATTI SS'23 FANTASY PALMS MAXI GREEN/PURPLE,1.38
379,CERULEAN,379,TE00008227,PRINTED LINEN LIK006 RATTI SS'23 YEAR OF TIGER ECRU/MAGENTA/JADE/BLACK 60 CM,1.47
380,ZAPHIRESILVERCOQUE,380,TE00008224,PRINTED LINEN LIK006 RATTI SS'23 FANTASY PALMS MIDI BABY BLUE/BROWN/ORANGE,1.47
381,BLACKZAPHIRE,381,TE00008225,PRINTED LINEN LIK006 RATTI SS'23 FANTASY PALMS MIDI ECRU/RUST/FUCSIA,1.47
382,PEWTERNAVYLILIFEA,382,TE00008223,PRINTED LINEN LIK006 RATTI SS'23 FANTASY PALMS MAXI GREEN/PURPLE,1.47
383,MENCHARCOALGRAYPRIN,383,TE00008228,PRINTED LINEN LIK006 RATTI SS'23 YEAR OF TIGER YELLOW/GREEN 60 CM,1.47
384,BLACK/GOLD,384,TEN0006026,LYCRA BAHIA 33474 COL.181547 TERRACOTA,1.56
385,NAVY BLUE,385,TE00008159,COTTON POPLIN ACTION TC4778/R1 GREEN COL.1125-22,1.35
386,SHIMMERY GOLD,386,TE00006455,COTTON TWILL 813360 CARENA H133600 ECRU,1.5
387,BLACK TEXAN GARDEN PLAID,387,TE00000124,ALGODON DRILL CISCO TC2725/R8 COL13925 BEIGE,1.38
388,AGRAVE BLUE,388,TE00003133,COTTON POPLIN ACTION TC4778 R2 COL14875,1.35
389,GOLD SUCULENTA,389,TE00007312,ACTION TC4778R1 15747 LILA,1.35
390,CHESNUT/BURNT UMBER,390,TE00000141,CHARMEUSE BURGUNDY/VINO TINTO PV1000 172/44 45,1.14
391,PINK TROPICAL CHINOISERIE,391,TE00000146,CHARMEUSE ROJO COL.2018 19MM,1.09
392,IVORY/TROPICAL CHINOISERIE,392,TE00005659,ALGODON POPELINA STRETCH NEGRO CM0096BLK,1.32
393,CHESNUT GARDEN/VERDE JADE,393,TE00000021,ALGODON ACTION POPELINA SALMON 06192,1.35
394,MIDNIGHT/SILVER TANGLED GARDEN,394,TE00001023,CHARMEUSE KAKI PV1000 178,1.14
395,CHESTNUT STRIPES,395,TE00000126,ACTION TC4778/R1 PISTACHO,1.35
396,JADE BLACK MAXI STRIPES,396,TE00000341,JACQUARD ART30727 MINDOTS 15CM CAMEL DI700645 COE2,1.34
397,CELESTE/BLACKPOLKADOTS,397,TE00007683,CREPE BIRDS 177 32 NAVY,1.44
398,HAZELNUT,398,TEN0002898,LYCRA BAHIA 33474 COL191325 CAFÉ,1.56
399,PAISLEY ANTIQUE SKY,399,TE00001681,STRETCH UNICOL ACETAT ART01625 COL1G13 BEIGE,1.35
400,CAMEL/TANGERINE,400,TEN0003782,LYCRA BAHIA 33474 COL150955 NARANJA,1.56
401,DANDELION CAMEL,401,TE00008326,SYNTHETIC LEATHER ART. MELZO 28 COL.507 TERRACOTA,1.35
402,BLACK/CAMEL,402,TE00001854,LYCRA BLANCA BRISBANE 314 PFP,1.5
